complaint_type,service_category,service_subcategory,is_weather_sensitive
Consumer Complaint,Consumer & Business,Consumer Protection,false
FHV Licensee Complaint,Consumer & Business,For-Hire Vehicles,false
For Hire Vehicle Complaint,Consumer & Business,For-Hire Vehicles,false
For Hire Vehicle Report,Consumer & Business,For-Hire Vehicles,false
Found Property,Consumer & Business,Lost & Found,false
Lost Property,Consumer & Business,Lost & Found,false
Vendor Enforcement,Consumer & Business,Street Vending,false
Dispatched Taxi Complaint,Consumer & Business,Taxi,false
Green Taxi Complaint,Consumer & Business,Taxi,false
Green Taxi Report,Consumer & Business,Taxi,false
Taxi Complaint,Consumer & Business,Taxi,false
Taxi Compliment,Consumer & Business,Taxi,false
Taxi Licensee Complaint,Consumer & Business,Taxi,false
Taxi Report,Consumer & Business,Taxi,false
Air Quality,Health & Hygiene,Air Quality,true
Indoor Air Quality,Health & Hygiene,Air Quality,false
Animal Facility - No Permit,Health & Hygiene,Animals,false
Animal-Abuse,Health & Hygiene,Animals,false
Illegal Animal Kept as Pet,Health & Hygiene,Animals,false
Illegal Animal Sold,Health & Hygiene,Animals,false
Pet Sale,Health & Hygiene,Animals,false
Pet Shop,Health & Hygiene,Animals,false
Trapping Pigeon,Health & Hygiene,Animals,false
Unleashed Dog,Health & Hygiene,Animals,false
Unsanitary Animal Facility,Health & Hygiene,Animals,false
Unsanitary Animal Pvt Property,Health & Hygiene,Animals,false
Beach/Pool/Sauna Complaint,Health & Hygiene,Facility Inspection,true
Cooling Tower,Health & Hygiene,Facility Inspection,true
Day Care,Health & Hygiene,Facility Inspection,false
Lifeguard,Health & Hygiene,Facility Inspection,true
Tanning,Health & Hygiene,Facility Inspection,false
Tattooing,Health & Hygiene,Facility Inspection,false
X-Ray Machine/Equipment,Health & Hygiene,Facility Inspection,false
Calorie Labeling,Health & Hygiene,Food Safety,false
Food Establishment,Health & Hygiene,Food Safety,false
Food Poisoning,Health & Hygiene,Food Safety,false
Mobile Food Vendor,Health & Hygiene,Food Safety,false
ASBESTOS,Health & Hygiene,Hazardous Materials,false
Asbestos,Health & Hygiene,Hazardous Materials,false
Construction Lead Dust,Health & Hygiene,Hazardous Materials,false
Hazardous Material,Health & Hygiene,Hazardous Materials,false
Hazardous Materials,Health & Hygiene,Hazardous Materials,false
Industrial Waste,Health & Hygiene,Hazardous Materials,false
Lead,Health & Hygiene,Hazardous Materials,false
Oil or Gas Spill,Health & Hygiene,Hazardous Materials,false
Radioactive Material,Health & Hygiene,Hazardous Materials,false
Harboring Bees/Wasps,Health & Hygiene,Pests,true
Mosquitoes,Health & Hygiene,Pests,true
Poison Ivy,Health & Hygiene,Pests,true
Rodent,Health & Hygiene,Pests,true
Unsanitary Pigeon Condition,Health & Hygiene,Pests,false
Cannabis Retailer,Health & Hygiene,Tobacco & Cannabis,false
Smoking,Health & Hygiene,Tobacco & Cannabis,false
Smoking or Vaping,Health & Hygiene,Tobacco & Cannabis,false
Tobacco or Non-Tobacco Sale,Health & Hygiene,Tobacco & Cannabis,false
Encampment,Homelessness & Social Services,Encampment,true
Homeless Person Assistance,Homelessness & Social Services,Outreach,true
APPLIANCE,Housing & Buildings,Appliances,false
Building Condition,Housing & Buildings,Building Envelope,false
OUTSIDE BUILDING,Housing & Buildings,Building Envelope,true
Building/Use,Housing & Buildings,Construction,false
General Construction/Plumbing,Housing & Buildings,Construction,false
ELECTRIC,Housing & Buildings,Electrical,false
Electrical,Housing & Buildings,Electrical,false
ELEVATOR,Housing & Buildings,Elevator,false
Elevator,Housing & Buildings,Elevator,false
GENERAL,Housing & Buildings,General Housing,false
Boilers,Housing & Buildings,Heat & Hot Water,true
HEAT/HOT WATER,Housing & Buildings,Heat & Hot Water,true
